DateTime,Groundwater level per five days
2000-01-01,1440.21
2000-01-06,1440.19
2000-01-11,1440.17
2000-01-16,1440.16
2000-01-21,1440.14
2000-01-26,1440.11
2000-02-01,1440.09
2000-02-06,1440.08
2000-02-11,1440.06
2000-02-16,1440.04
2000-02-21,1440.02
2000-02-26,1440
2000-03-01,1439.98
2000-03-06,1439.97
2000-03-11,1439.99
2000-03-16,1440
2000-03-21,1440.02
2000-03-26,1440.05
2000-04-01,1440.08
2000-04-06,1440.02
2000-04-11,1439.96
2000-04-16,1439.81
2000-04-21,1439.7
2000-04-26,1439.64
2000-05-01,1439.25
2000-05-06,1439.08
2000-05-11,1438.85
2000-05-16,1438.81
2000-05-21,1438.8
2000-05-26,1438.78
2000-06-01,1438.72
2000-06-06,1438.67
2000-06-11,1438.6
2000-06-16,1438.51
2000-06-21,1438.38
2000-06-26,1438.12
2000-07-01,1437.9
2000-07-06,1437.67
2000-07-11,1437.52
2000-07-16,1437.21
2000-07-21,1436.9
2000-07-26,1436.91
2000-08-01,1436.92
2000-08-06,1436.93
2000-08-11,1437.17
2000-08-16,1437.42
2000-08-21,1437.72
2000-08-26,1437.99
2000-09-01,1438.18
2000-09-06,1438.37
2000-09-11,1438.56
2000-09-16,1438.75
2000-09-21,1438.93
2000-09-26,1439.12
2000-10-01,1439.31
2000-10-06,1439.5
2000-10-11,1439.69
2000-10-16,1439.69
2000-10-21,1439.7
2000-10-26,1439.7
2000-11-01,1439.71
2000-11-06,1439.71
2000-11-11,1439.72
2000-11-16,1439.79
2000-11-21,1439.86
2000-11-26,1439.93
2000-12-01,1440.01
2000-12-06,1440.08
2000-12-11,1440.15
2000-12-16,1440.13
2000-12-21,1440.15
2000-12-26,1440.14
2001-01-01,1440.18
2001-01-06,1440.12
2001-01-11,1440.08
2001-01-16,1440
2001-01-21,1439.91
2001-01-26,1439.87
2001-02-01,1439.94
2001-02-06,1439.95
2001-02-11,1439.96
2001-02-16,1439.97
2001-02-21,1439.98
2001-02-26,1439.99
2001-03-01,1440.01
2001-03-06,1440.03
2001-03-11,1440.06
2001-03-16,1439.91
2001-03-21,1439.95
2001-03-26,1439.98
2001-04-01,1439.91
2001-04-06,1439.87
2001-04-11,1439.93
2001-04-16,1439.94
2001-04-21,1439.97
2001-04-26,1438.88
2001-05-01,1438.4
2001-05-06,1438.04
2001-05-11,1437.86
2001-05-16,1437.65
2001-05-21,1437.31
2001-05-26,1436.87
2001-06-01,1436.75
2001-06-06,1436.67
2001-06-11,1436.6
2001-06-16,1436.55
2001-06-21,1436.48
2001-06-26,1436.42
2001-07-01,1436.35
2001-07-06,1436.32
2001-09-16,1439.1
2001-09-21,1439.22
2001-09-26,1439.26
2001-10-01,1439.3
2001-10-06,1439.39
2001-10-11,1439.43
2001-10-16,1439.35
2001-10-21,1439.27
2001-10-26,1439.52
2001-11-01,1439.55
2001-11-06,1439.58
2001-11-11,1439.59
2001-11-16,1439.62
