DateTime,Groundwater level per five days
2000-01-01,1485.55
2000-01-06,1485.49
2000-01-11,1485.44
2000-01-16,1485.46
2000-01-21,1485.49
2000-01-26,1485.5
2000-02-01,1485.54
2000-02-06,1485.52
2000-02-11,1485.55
2000-02-16,1485.57
2000-02-21,1485.59
2000-02-26,1485.62
2000-03-01,1485.63
2000-03-06,1485.66
2000-03-11,1485.68
2000-03-16,1485.62
2000-03-21,1485.43
2000-03-26,1485.24
2000-04-01,1485
2000-04-06,1484.81
2000-04-11,1484.62
2000-04-16,1484.59
2000-04-21,1484.52
2000-04-26,1484.42
2000-05-01,1484.44
2000-05-06,1484.34
2000-05-11,1484.22
2000-05-16,1484.3
2000-05-21,1484.3
2000-05-26,1484.29
2000-06-01,1484.38
2000-06-06,1484.71
2000-06-11,1484.68
2000-06-16,1484.64
2000-06-21,1484.6
2000-06-26,1484.56
2000-07-01,1484.53
2000-07-06,1484.49
2000-07-11,1484.45
2000-07-16,1484.41
2000-07-21,1484.34
2000-07-26,1484.28
2000-08-01,1484.3
2000-08-06,1484.14
2000-08-11,1483.94
2000-08-16,1484.12
2000-08-21,1484.18
2000-08-26,1484.28
2000-09-01,1484.16
2000-09-06,1484.18
2000-09-11,1484.28
2000-09-16,1484.24
2000-09-21,1484.3
2000-09-26,1484.36
2000-10-01,1484.42
2000-10-06,1484.48
2000-10-11,1484.48
2000-10-16,1484.53
2000-10-21,1484.51
2000-10-26,1484.44
2000-11-01,1484.45
2000-11-06,1484.51
2000-11-11,1484.44
2000-11-16,1484.3
2000-11-21,1484.25
2000-11-26,1484.37
2000-12-01,1484.5
2000-12-06,1484.62
2000-12-11,1484.75
2000-12-16,1484.87
2000-12-21,1485
2000-12-26,1485.12
2001-01-01,1485.07
2001-01-06,1485.04
2001-01-11,1485
2001-01-16,1484.96
2001-01-21,1484.92
2001-01-26,1484.88
2001-02-01,1484.84
2001-02-06,1484.85
2001-02-11,1484.88
2001-02-16,1484.91
2001-02-21,1484.93
2001-02-26,1484.94
2001-03-01,1484.95
2001-03-06,1484.96
2001-03-11,1484.92
2001-03-16,1484.95
2001-03-21,1484.94
2001-03-26,1484.92
2001-04-01,1484.68
2001-04-06,1484.51
2001-04-11,1484.37
2001-04-16,1484.67
2001-04-21,1484.67
2001-04-26,1484.67
2001-05-01,1484.67
2001-05-06,1484.67
2001-05-11,1484.39
2001-05-16,1484.11
2001-05-21,1483.83
2001-05-26,1483.54
2001-06-01,1483.38
2001-06-06,1483.27
2001-06-11,1483.16
2001-06-16,1483.05
2001-06-21,1482.93
2001-06-26,1483
2001-07-01,1482.76
2001-07-06,1482.72
2001-07-11,1483
2001-07-16,1483
2001-07-21,1483
2001-07-26,1483.26
2001-08-01,1483.66
2001-08-06,1483.66
2001-08-11,1483.67
2001-08-16,1483.66
2001-08-21,1483.66
2001-08-26,1483.67
2001-09-01,1483.68
2001-09-06,1483.67
2001-09-11,1483.66
2001-09-16,1483.65
2001-09-21,1483.63
2001-09-26,1483.62
2001-10-01,1483.62
2001-10-06,1483.61
2001-10-11,1483.62
2001-10-16,1483.6
2001-10-21,1483.6
2001-10-26,1483.61
2001-11-01,1483.6
2001-11-06,1483.56
2001-11-11,1483.47
2001-11-16,1483.46
2001-11-21,1483.45
2001-11-26,1483.45
2001-12-01,1483.42
2001-12-06,1483.42
2001-12-11,1483.43
2001-12-16,1483.46
2001-12-21,1483.51
2001-12-26,1483.56
2002-01-01,1483.66
2002-01-06,1483.82
2002-01-11,1483.86
2002-01-16,1483.91
2002-01-21,1483.97
2002-01-26,1484.02
2002-02-01,1484.08
2002-02-06,1484.12
2002-02-11,1484.17
2002-02-16,1484.22
2002-02-21,1484.26
2002-02-26,1484.33
2002-03-01,1484.35
2002-03-06,1484.36
2002-03-11,1484.38
2002-03-16,1484.39
2002-03-21,1484.4
2002-03-26,1484.2
2002-04-01,1484.11
2002-04-06,1484.03
2002-04-11,1483.95
2002-04-16,1483.87
2002-04-21,1483.82
2002-04-26,1483.76
2002-05-01,1483.71
2002-05-06,1483.66
2002-05-11,1483.6
2002-05-16,1483.55
2002-05-21,1483.47
2002-05-26,1483.39
2002-06-01,1483.31
2002-06-06,1483.06
2002-06-11,1483.06
2002-06-16,1483
2002-06-21,1482.97
2002-06-26,1482.92
2002-07-01,1482.88
2002-07-06,1482.84
2002-07-11,1482.8
2002-07-16,1482.75
2002-07-21,1482.76
2002-07-26,1482.49
2002-08-01,1482.16
2002-08-06,1482.2
2002-08-11,1482.23
2002-08-16,1482.27
2002-08-21,1482.31
2002-08-26,1482.35
2002-09-01,1482.39
2002-09-06,1482.5
2002-09-11,1482.49
2002-09-16,1482.62
2002-09-21,1482.68
2002-09-26,1482.74
2002-10-01,1482.8
2002-10-06,1482.84
2002-10-11,1482.88
2002-10-16,1482.9
2002-10-21,1482.96
2002-10-26,1482.94
2002-11-01,1482.9
2002-11-06,1482.94
2002-11-11,1482.84
2002-11-16,1482.77
2002-11-21,1482.59
2002-11-26,1482.61
2002-12-01,1482.58
2002-12-06,1482.7
2002-12-11,1482.75
2002-12-16,1482.76
2002-12-21,1482.71
2002-12-26,1482.67
2003-01-01,1482.71
2003-01-06,1482.76
2003-01-11,1482.8
2003-01-16,1482.84
2003-01-21,1482.88
2003-01-26,1482.9
2003-02-01,1482.91
2003-02-06,1482.91
2003-02-11,1482.91
2003-02-16,1482.92
2003-02-21,1482.92
2003-02-26,1482.93
2003-03-01,1482.93
2003-03-06,1482.94
2003-03-11,1482.94
2003-03-16,1482.95
2003-03-21,1482.93
2003-03-26,1482.94
2003-04-01,1483.03
2003-04-06,1483.1
2003-04-11,1483.17
2003-04-16,1482.97
2003-04-21,1482.96
2003-04-26,1482.96
2003-05-01,1482.96
2003-05-06,1482.82
2003-05-11,1482.78
2003-05-16,1482.98
2003-05-21,1482.78
2003-05-26,1482.4
2003-06-01,1481.93
2003-06-06,1481.82
2003-06-11,1481.75
2003-06-16,1481.62
2003-06-21,1481.6
2003-06-26,1481.15
2003-07-01,1480.79
2003-07-06,1480.97
2003-07-11,1480.89
2003-07-16,1480.76
2003-07-21,1481.04
2003-07-26,1480.68
2003-08-01,1480.69
2003-08-06,1480.68
2003-08-11,1480.66
2003-08-16,1480.7
2003-08-21,1480.74
2003-08-26,1480.77
2003-09-01,1480.82
2003-09-06,1480.82
2003-09-11,1480.89
2003-09-16,1480.87
2003-09-21,1480.76
2003-09-26,1480.66
2003-10-01,1480.69
2003-10-06,1480.66
2003-10-11,1480.73
2003-10-16,1480.81
2003-10-21,1480.88
2003-10-26,1480.96
2003-11-01,1480.98
2003-11-06,1480.96
2003-11-11,1481.04
2003-11-16,1481.09
2003-11-21,1481.13
2003-11-26,1481.18
2003-12-01,1481.14
2003-12-06,1481.15
2003-12-11,1481.2
2003-12-16,1481.25
2003-12-21,1481.3
2003-12-26,1481.36
2004-01-01,1481.4
2004-01-06,1481.44
2004-01-11,1481.46
2004-01-16,1481.52
2004-01-21,1481.53
2004-01-26,1481.58
2004-02-01,1481.62
2004-02-06,1481.66
2004-02-11,1481.68
2004-02-16,1481.72
2004-02-21,1481.74
2004-02-26,1481.77
2004-03-01,1481.8
2004-03-06,1481.82
2004-03-11,1481.84
2004-03-16,1481.85
2004-03-21,1481.9
2004-03-26,1481.9
2004-04-01,1481.88
2004-04-06,1481.87
2004-04-11,1481.78
2004-04-16,1481.73
2004-04-21,1481.68
2004-04-26,1481.63
2004-05-01,1481.58
2004-05-06,1481.53
2004-05-11,1481.23
2004-05-16,1481.28
2004-05-21,1481.22
2004-05-26,1481.03
2004-06-01,1481.16
2004-06-06,1481.18
2004-06-11,1481.06
2004-06-16,1480.99
2004-06-21,1480.8
2004-06-26,1480.66
2004-07-01,1480.58
2004-07-06,1480.56
2004-07-11,1480.24
2004-07-16,1480.09
2004-07-21,1480.08
2004-07-26,1480.02
2004-08-01,1480.07
2004-08-06,1479.99
2004-08-11,1479.93
2004-08-16,1479.92
2004-08-21,1479.91
2004-08-26,1479.9
2004-09-01,1479.89
2004-09-06,1479.74
2004-09-11,1479.8
2004-09-16,1479.85
2004-09-21,1479.92
2004-09-26,1480
2004-10-01,1480.08
2004-10-06,1480.13
2004-10-11,1480.19
2004-10-16,1480.24
2004-10-21,1480.28
2004-10-26,1480.33
2004-11-01,1480.35
2004-11-06,1480.36
2004-11-11,1480.24
2004-11-16,1480.1
2004-11-21,1480
2004-11-26,1479.99
2004-12-01,1480.08
2004-12-06,1480.07
2004-12-11,1480.12
2004-12-16,1480.16
2004-12-21,1480.24
2004-12-26,1480.3
2005-01-01,1480.38
2005-01-06,1480.4
2005-01-11,1480.46
2005-01-16,1480.5
2005-01-21,1480.56
2005-01-26,1480.62
2005-02-01,1480.64
2005-02-06,1480.67
2005-02-11,1480.69
2005-02-16,1480.72
2005-02-21,1480.75
2005-02-26,1480.76
2005-03-01,1480.77
2005-03-06,1480.81
2005-03-11,1480.84
2005-03-16,1480.86
2005-03-21,1480.89
2005-03-26,1480.92
2005-04-01,1480.94
2005-04-06,1480.94
2005-04-11,1480.9
2005-04-16,1480.86
2005-04-21,1480.84
2005-04-26,1480.8
2005-05-01,1480.74
2005-05-06,1480.56
2005-05-11,1480.48
2005-05-16,1480.41
2005-05-21,1480.38
2005-05-26,1480.29
2005-06-01,1480.3
2005-06-06,1480.24
2005-06-11,1480.11
2005-06-16,1479.98
2005-06-21,1479.85
2005-06-26,1479.72
2005-07-01,1479.69
2005-07-06,1479.73
2005-07-11,1479.71
2005-07-16,1479.82
2005-07-21,1479.94
2005-07-26,1480.1
2005-08-01,1480.16
2005-08-06,1480.18
2005-08-11,1480.25
