DateTime,Groundwater level per five days
2000-01-01,1465.4
2000-01-06,1465.49
2000-01-11,1465.61
2000-01-16,1465.55
2000-01-21,1465.59
2000-01-26,1465.56
2000-02-01,1465.58
2000-02-06,1465.55
2000-02-11,1465.57
2000-02-16,1465.6
2000-02-21,1465.58
2000-02-26,1465.56
2000-03-01,1465.57
2000-03-06,1465.59
2000-03-11,1465.61
2000-03-16,1465.63
2000-03-21,1465.66
2000-03-26,1465.72
2000-04-01,1465.76
2000-04-06,1465.57
2000-04-11,1465.39
2000-04-16,1465.3
2000-04-21,1465.16
2000-04-26,1465.05
2000-05-01,1464.91
2000-05-06,1464.8
2000-05-11,1464.46
2000-05-16,1464.22
2000-05-21,1464.06
2000-05-26,1463.84
2000-06-01,1463.66
2000-06-06,1463.49
2000-06-11,1463.71
2000-06-16,1463.79
2000-06-21,1463.92
2000-06-26,1464
2000-07-01,1464.06
2000-07-06,1464.03
2000-07-11,1464.11
2000-07-16,1464.13
2000-07-21,1464.16
2000-07-26,1464.24
2000-08-01,1464.26
2000-08-06,1464.34
2000-08-11,1464.42
2000-08-16,1464.41
2000-08-21,1464.45
2000-08-26,1464.48
2000-09-01,1464.51
2000-09-06,1464.54
2000-09-11,1464.58
2000-09-16,1464.61
2000-09-21,1464.64
2000-09-26,1464.67
2000-10-01,1464.71
2000-10-06,1464.74
2000-10-11,1464.77
2000-10-16,1464.63
2000-10-21,1464.49
2000-10-26,1464.33
2000-11-01,1464.18
2000-11-06,1464.04
2000-11-11,1463.89
2000-11-16,1463.75
2000-11-21,1463.6
2000-11-26,1463.87
2000-12-01,1464.15
2000-12-06,1464.43
2000-12-11,1464.69
2000-12-16,1464.97
2000-12-21,1465.18
2000-12-26,1465.24
2001-01-01,1465.37
2001-01-06,1465.35
2001-01-11,1465.3
2001-01-16,1465.18
2001-01-21,1464.97
2001-01-26,1465.21
2001-02-01,1465.42
2001-02-06,1465.42
2001-02-11,1465.43
2001-02-16,1465.41
2001-02-21,1465.44
2001-02-26,1465.45
2001-03-01,1465.46
2001-03-06,1465.46
2001-03-11,1465.45
2001-03-16,1465.44
2001-03-21,1465.44
2001-03-26,1465.45
2001-04-01,1465.46
2001-04-06,1465.41
2001-04-11,1465.38
2001-04-16,1465.37
2001-04-21,1465.34
2001-04-26,1465.21
2001-05-01,1465.14
2001-05-06,1464.95
2001-05-11,1464.86
2001-05-16,1464.84
2001-05-21,1464.81
2001-05-26,1464.75
2001-06-01,1463.95
2001-06-06,1463.92
2001-06-11,1463.94
2001-06-16,1463.91
2001-06-21,1463.97
2001-06-26,1464.02
2001-07-01,1463.99
2001-07-06,1464.12
2001-07-11,1464.16
2001-07-16,1464.27
2001-07-21,1463.76
2001-07-26,1463.59
2001-08-01,1463.61
2001-08-06,1463.69
2001-08-11,1463.76
2001-08-16,1463.91
2001-08-21,1463.97
2001-08-26,1464.12
2001-09-01,1463.83
2001-09-06,1464.01
2001-09-11,1464.24
2001-09-16,1464.36
2001-09-21,1464.38
2001-09-26,1464.42
2001-10-01,1464.42
2001-10-06,1464.45
2001-10-11,1464.46
2001-10-16,1464.48
2001-10-21,1464.47
2001-10-26,1464.49
2001-11-01,1464.53
2001-11-06,1464.61
2001-11-11,1464.67
2001-11-16,1464.74
2001-11-21,1464.86
2001-11-26,1465
2001-12-01,1465.16
2001-12-06,1465.31
2001-12-11,1465.59
2001-12-16,1465.51
2001-12-21,1465.42
2001-12-26,1465.32
2002-01-01,1465.23
2002-01-06,1465.25
2002-01-11,1465.26
2002-01-16,1465.28
2002-01-21,1465.29
2002-01-26,1465.33
2002-02-01,1465.22
2002-02-06,1465.25
2002-02-11,1465.26
2002-02-16,1465.26
2002-02-21,1465.25
2002-02-26,1465.26
2002-03-01,1465.27
2002-03-06,1465.27
2002-03-11,1465.26
2002-03-16,1465.26
2002-03-21,1465.13
2002-03-26,1464.99
2002-04-01,1464.86
2002-04-06,1464.98
2002-04-11,1464.77
2002-04-16,1464.71
2002-04-21,1464.62
2002-04-26,1464.58
2002-05-01,1464.63
2002-05-06,1464.66
2002-05-11,1464.22
2002-05-16,1463.3
2002-05-21,1463.32
2002-05-26,1463.34
2002-06-01,1463.36
2002-06-06,1464.21
2002-06-11,1463.94
2002-06-16,1463.52
2002-06-21,1463.36
2002-06-26,1463.22
2002-07-01,1463.25
2002-07-06,1463.42
2002-07-11,1463.85
2002-07-16,1464.33
2002-07-21,1463.66
2002-07-26,1462.24
2002-08-01,1461.48
2002-08-06,1461.81
2002-08-11,1462.12
2002-08-16,1462.46
2002-08-21,1462.57
2002-08-26,1462.48
2002-09-01,1462.66
2002-09-06,1462.7
2002-09-11,1464.27
2002-09-16,1464.41
2002-09-21,1464.5
2002-09-26,1464.2
2002-10-01,1464.5
2002-10-06,1464.52
2002-10-11,1464.56
2002-10-16,1464.67
2002-10-21,1464.86
2002-10-26,1464.9
2002-11-01,1464.76
2002-11-06,1464.65
2002-11-11,1464.74
2002-11-16,1464.77
2002-11-21,1464.75
2002-11-26,1462.53
2002-12-01,1462.63
2002-12-06,1462.72
2002-12-11,1462.91
2002-12-16,1462.76
2002-12-21,1463
2002-12-26,1464.07
2003-01-01,1464.86
2003-01-06,1464.71
2003-01-11,1464.76
2003-01-16,1464.83
2003-01-21,1464.8
2003-01-26,1464.71
2003-02-01,1464.74
2003-02-06,1464.81
2003-02-11,1464.88
2003-02-16,1465.01
2003-02-21,1465.1
2003-02-26,1465.03
2003-03-01,1464.99
2003-03-06,1464.97
2003-03-11,1465.02
2003-03-16,1464.93
2003-03-21,1464.86
2003-03-26,1464.71
2003-04-01,1464.47
2003-04-06,1464.16
2003-04-11,1464.77
2003-04-16,1464.64
2003-04-21,1464.6
2003-04-26,1464.45
2003-05-01,1463.9
2003-05-06,1462.65
2003-05-11,1461.84
2003-05-16,1462.16
2003-05-21,1462.79
2003-05-26,1462.66
2003-06-01,1462.96
2003-06-06,1462.43
2003-06-11,1462.19
2003-06-16,1462.78
2003-06-21,1463.09
2003-06-26,1462.95
2003-07-01,1462.92
2003-07-06,1462.65
2003-07-11,1461.97
2003-07-16,1462.1
2003-07-21,1462.11
2003-07-26,1461.93
2003-08-01,1461.83
2003-08-06,1461.75
2003-08-11,1461.78
2003-08-16,1462.02
2003-08-21,1462.61
2003-08-26,1462.48
2003-09-01,1461.59
2003-09-06,1461.61
2003-09-11,1461.66
2003-09-16,1461.71
2003-09-21,1462.75
2003-09-26,1462.68
2003-10-01,1464.04
2003-10-06,1464.07
2003-10-11,1464.04
2003-10-16,1464.1
2003-10-21,1464.07
2003-10-26,1464
2003-11-01,1464.14
2003-11-06,1464.15
2003-11-11,1464.42
2003-11-16,1464.36
2003-11-21,1462.71
2003-11-26,1462.05
2003-12-01,1462.22
2003-12-06,1463.42
2003-12-11,1464.03
2003-12-16,1463.89
2003-12-21,1464.06
2003-12-26,1463.79
2004-01-01,1464.63
2004-01-06,1464.61
2004-01-11,1464.66
2004-01-16,1464.64
2004-01-21,1464.69
2004-01-26,1464.73
2004-02-01,1464.71
2004-02-06,1464.92
2004-02-11,1464.88
2004-02-16,1464.92
2004-02-21,1464.95
2004-02-26,1464.79
2004-03-01,1464.81
2004-03-06,1464.79
2004-03-11,1464.78
2004-03-16,1464.76
2004-03-21,1464.66
2004-03-26,1464.75
2004-04-01,1464.71
2004-04-06,1464.65
2004-04-11,1464.57
2004-04-16,1464.44
2004-04-21,1463.16
2004-04-26,1461.49
2004-05-01,1460.94
2004-05-06,1460.9
2004-05-11,1461.02
2004-05-16,1460.86
2004-05-21,1461.22
2004-05-26,1461.32
2004-06-01,1461.49
2004-06-06,1461.62
2004-06-11,1461.31
2004-06-16,1460.65
2004-06-21,1459.89
2004-06-26,1459.82
2004-07-01,1459.64
2004-07-06,1459.85
2004-07-11,1460.91
2004-07-16,1461
2004-07-21,1461.05
2004-07-26,1461.11
2004-08-01,1461.24
2004-08-06,1461.06
2004-08-11,1460.71
2004-08-16,1460.92
2004-08-21,1460.86
2004-08-26,1461.1
2004-09-01,1461.34
2004-09-06,1461.16
2004-09-11,1461.32
2004-09-16,1461.43
2004-09-21,1461.56
2004-09-26,1461.82
2004-10-01,1462.47
2004-10-06,1462.56
2004-10-11,1463.15
2004-10-16,1463.72
2004-10-21,1463.56
2004-10-26,1463.54
2004-11-01,1463.44
2004-11-06,1463.11
2004-11-11,1462.89
2004-11-16,1462.31
2004-11-21,1461.75
2004-11-26,1460.97
2004-12-01,1462.19
2004-12-06,1462.27
2004-12-11,1462.11
2004-12-16,1462.19
2004-12-21,1463.71
2004-12-26,1463.92
2005-01-01,1464.21
2005-01-06,1464.24
2005-01-11,1464.35
2005-01-16,1464.39
2005-01-21,1463.37
2005-01-26,1464.48
2005-02-01,1463.34
2005-02-06,1464.56
2005-02-11,1464.52
2005-02-16,1464.58
2005-02-21,1464.5
2005-02-26,1464.55
2005-03-01,1463.51
2005-03-06,1464.57
2005-03-11,1464.66
2005-03-16,1464.64
2005-03-21,1464.6
2005-03-26,1464.62
2005-04-01,1464.67
2005-04-06,1464.81
2005-04-11,1464.6
2005-04-16,1464.38
2005-04-21,1464.33
2005-04-26,1462.67
2005-05-01,1461.54
2005-05-06,1461.5
2005-05-11,1461.35
2005-05-16,1461.24
2005-05-21,1460.63
2005-05-26,1461.09
2005-06-01,1461.87
2005-06-06,1461.92
2005-06-11,1461.81
2005-06-16,1461.93
2005-06-21,1460.35
2005-06-26,1460.28
2005-07-01,1461.85
2005-07-06,1462.14
2005-07-11,1462.43
2005-07-16,1462.21
2005-07-21,1460.3
2005-07-26,1460.02
2005-08-01,1460.83
2005-08-06,1461.13
2005-08-11,1461.13
2005-08-16,1461.26
2005-08-21,1461.38
2005-08-26,1460.85
2005-09-01,1461.25
2005-09-06,1461.33
2005-09-11,1461.41
2005-09-16,1461.11
2005-09-21,1461.37
