DateTime,Groundwater level per five days
2000-01-01,1391.1
2000-01-06,1391.11
2000-01-11,1391.16
2000-01-16,1391.18
2000-01-21,1391.2
2000-01-26,1391.22
2000-02-01,1391.17
2000-02-06,1391.15
2000-02-11,1391.13
2000-02-16,1391.14
2000-02-21,1391.1
2000-02-26,1391.03
2000-03-01,1391
2000-03-06,1391.02
2000-03-11,1391.08
2000-03-16,1391.12
2000-03-21,1391.01
2000-03-26,1390.99
2000-04-01,1391
2000-04-06,1390.95
2000-04-11,1390.92
2000-04-16,1390.88
2000-04-21,1390.84
2000-04-26,1390.79
2000-05-01,1390.76
2000-05-06,1390.72
2000-05-11,1390.69
2000-05-16,1390.62
2000-05-21,1390.6
2000-05-26,1390.56
2000-06-01,1390.64
2000-06-06,1390.68
2000-06-11,1390.74
2000-06-16,1390.73
2000-06-21,1390.83
2000-06-26,1390.89
2000-07-01,1390.99
2000-07-06,1391.03
2000-07-11,1391.1
2000-07-16,1391.17
2000-07-21,1391.15
2000-07-26,1391.2
2000-08-01,1391.27
2000-08-06,1391.33
2000-08-11,1391.32
2000-08-16,1391.5
2000-08-21,1391.67
2000-08-26,1391.83
2000-09-01,1391.8
2000-09-06,1391.78
2000-09-11,1391.75
2000-09-16,1391.71
2000-09-21,1391.69
2000-09-26,1391.62
2000-10-01,1391.65
2000-10-06,1391.68
2000-10-11,1391.66
2000-10-16,1391.72
2000-10-21,1391.76
2000-10-26,1391.77
2000-11-01,1391.74
2000-11-06,1391.67
2000-11-11,1391.62
2000-11-16,1391.56
2000-11-21,1391.53
2000-11-26,1391.51
2000-12-01,1391.43
2000-12-06,1391.46
2000-12-11,1391.4
2000-12-16,1391.39
2000-12-21,1391.23
2000-12-26,1391.07
2001-01-01,1391.44
2001-01-06,1391.38
2001-01-11,1391.27
2001-01-16,1391.18
2001-01-21,1391.13
2001-01-26,1391.07
2001-02-01,1391.05
2001-02-06,1391.02
2001-02-11,1390.97
2001-02-16,1390.88
2001-02-21,1390.79
2001-02-26,1390.72
2001-03-01,1390.69
2001-03-06,1390.62
2001-03-11,1390.55
2001-03-16,1390.44
2001-03-21,1390.47
2001-03-26,1390.51
2001-04-01,1390.38
2001-04-06,1390.41
2001-04-11,1390.43
2001-04-16,1390.47
2001-04-21,1390.51
2001-04-26,1390.54
2001-05-01,1390.57
2001-05-06,1390.6
2001-05-11,1390.63
2001-05-16,1390.66
2001-05-21,1390.62
2001-05-26,1390.69
2001-06-01,1390.66
2001-06-06,1390.64
2001-06-11,1390.61
2001-06-16,1390.63
2001-06-21,1390.89
2001-06-26,1390.58
2001-07-01,1390.56
2001-07-06,1390.62
2001-07-11,1390.67
2001-07-16,1390.72
2001-07-21,1390.79
2001-07-26,1390.77
2001-08-01,1390.8
2001-08-06,1390.84
2001-08-11,1390.91
2001-08-16,1391.11
2001-08-21,1391.19
2001-08-26,1391.29
2001-09-01,1391.57
2001-09-06,1391.58
2001-09-11,1391.61
2001-09-16,1391.62
2001-09-21,1391.66
2001-09-26,1391.69
2001-10-01,1391.68
2001-10-06,1391.66
2001-10-11,1391.62
2001-10-16,1391.65
2001-10-21,1391.6
2001-10-26,1391.57
2001-11-01,1391.54
2001-11-06,1391.48
2001-11-11,1391.69
2001-11-16,1391.81
2001-11-21,1391.89
2001-11-26,1391.99
2001-12-01,1391.96
2001-12-06,1391.88
2001-12-11,1391.8
2001-12-16,1391.72
2001-12-21,1391.6
2001-12-26,1391.56
2002-01-01,1390.68
2002-01-06,1390.677
2002-01-11,1390.674
2002-01-16,1390.65
2002-01-21,1390.621
2002-01-26,1390.62
2002-02-01,1390.594
2002-02-06,1390.59
2002-02-11,1390.587
2002-02-16,1390.57
2002-02-21,1390.551
2002-02-26,1390.565
2002-03-01,1390.54
2002-03-06,1390.542
2002-03-11,1390.532
2002-03-16,1390.527
2002-03-21,1390.508
2002-03-26,1390.511
2002-04-01,1390.42
2002-04-06,1390.412
2002-04-11,1390.241
2002-04-16,1390.347
2002-04-21,1390.352
2002-04-26,1390.3
2002-05-01,1390.21
2002-05-06,1390.182
2002-05-11,1390.171
2002-05-16,1390.124
2002-05-21,1390.11
2002-05-26,1390.099
2002-06-01,1390.099
2002-06-06,1390.079
2002-06-11,1390.049
2002-06-16,1390.029
2002-06-21,1390.089
2002-06-26,1390.139
2002-07-01,1390.109
2002-07-06,1390.049
2002-07-11,1390.089
2002-07-16,1390.069
2002-07-21,1390.039
2002-07-26,1390.079
2002-08-01,1390.149
2002-08-06,1390.129
2002-08-11,1390.159
2002-08-16,1390.179
2002-08-21,1390.139
2002-08-26,1390.169
2002-09-01,1390.23
2002-09-06,1390.259
2002-09-11,1390.279
2002-09-16,1390.249
2002-09-21,1390.229
2002-09-26,1390.289
2002-10-01,1390.329
2002-10-06,1390.369
2002-10-11,1390.399
2002-10-16,1390.419
2002-10-21,1390.439
2002-10-26,1390.459
2002-11-01,1390.499
2002-11-06,1390.529
2002-11-11,1390.549
2002-11-16,1390.579
2002-11-21,1390.599
2002-11-26,1390.599
2002-12-01,1390.619
2002-12-06,1390.599
2002-12-11,1390.649
2002-12-16,1390.679
2002-12-21,1390.689
2002-12-26,1390.699
2003-01-01,1390.68
2003-01-06,1390.68
2003-01-11,1390.68
2003-01-16,1390.66
2003-01-21,1390.65
2003-01-26,1390.62
2003-02-01,1390.56
2003-02-06,1390.59
2003-02-11,1390.59
2003-02-16,1390.57
2003-02-21,1390.57
2003-02-26,1390.57
2003-03-01,1390.55
2003-03-06,1390.55
2003-03-11,1390.54
2003-03-16,1390.54
2003-03-21,1390.53
2003-03-26,1390.52
2003-04-01,1390.5
2003-04-06,1390.46
2003-04-11,1390.42
2003-04-16,1390.35
2003-04-21,1390.35
2003-04-26,1390.34
2003-05-01,1390.3
2003-05-06,1390.278
2003-05-11,1390.22
2003-05-16,1390.2
2003-05-21,1390.17
2003-05-26,1390.12
2003-06-01,1390.12
2003-06-06,1390.11
2003-06-11,1390.08
2003-06-16,1390.05
2003-06-21,1390.03
2003-06-26,1390.09
2003-07-01,1390.11
2003-07-06,1390.1
2003-07-11,1390.09
2003-07-16,1390.07
2003-07-21,1390.05
2003-07-26,1390.08
2003-08-01,1390.15
2003-08-06,1390.13
2003-08-11,1390.16
2003-08-16,1390.18
2003-08-21,1390.17
2003-08-26,1390.17
2003-09-01,1390.33
2003-09-06,1390.35
2003-09-11,1390.4
2003-09-16,1390.43
2003-09-21,1390.44
2003-09-26,1390.46
2003-10-01,1390.43
2003-10-06,1390.37
2003-10-11,1390.4
2003-10-16,1390.42
2003-10-21,1390.44
2003-10-26,1390.47
2003-11-01,1390.5
2003-11-06,1390.53
2003-11-11,1390.55
2003-11-16,1390.58
2003-11-21,1390.6
2003-11-26,1390.6
2003-12-01,1390.62
2003-12-06,1390.63
2003-12-11,1390.64
2003-12-16,1390.66
2003-12-21,1390.66
2003-12-26,1390.66
2004-01-01,1389.899
2004-01-06,1389.859
2004-01-11,1389.889
2004-01-16,1389.909
2004-01-21,1389.879
2004-01-26,1389.899
2004-02-01,1389.899
2004-02-06,1389.869
2004-02-11,1389.889
2004-02-16,1389.899
2004-02-21,1389.879
2004-02-26,1389.899
2004-03-01,1389.879
2004-03-06,1389.899
2004-03-11,1389.869
2004-03-16,1389.899
2004-03-21,1389.859
2004-03-26,1389.879
2004-04-01,1389.869
2004-04-06,1389.889
2004-04-11,1389.879
2004-04-16,1389.899
2004-04-21,1389.959
2004-04-26,1389.949
2004-05-01,1390.019
2004-05-06,1390.039
2004-05-11,1390.009
2004-05-16,1390.039
2004-05-21,1390.069
2004-05-26,1390.049
2004-06-01,1390.059
2004-06-06,1390.079
2004-06-11,1390.089
2004-06-16,1390.099
2004-06-21,1390.079
2004-06-26,1390.109
2004-07-01,1390.099
2004-07-06,1390.089
2004-07-11,1390.069
2004-07-16,1390.089
2004-07-21,1390.079
2004-07-26,1390.099
2004-08-01,1390.079
2004-08-06,1390.059
2004-08-11,1390.089
2004-08-16,1390.049
2004-08-21,1390.079
2004-08-26,1390.059
2004-09-01,1390.059
2004-09-06,1390.069
2004-09-11,1390.049
2004-09-16,1390.069
2004-09-21,1390.089
2004-09-26,1390.069
2004-10-01,1390.049
2004-10-06,1390.029
2004-10-11,1390.009
2004-10-16,1389.979
2004-10-21,1389.939
2004-10-26,1389.889
2004-11-01,1389.879
2004-11-06,1389.899
2004-11-11,1389.869
2004-11-16,1389.899
2004-11-21,1389.879
2004-11-26,1389.899
2004-12-01,1389.869
2004-12-06,1389.899
2004-12-11,1389.909
2004-12-16,1389.889
2004-12-21,1389.879
2004-12-26,1389.889
2005-01-01,1390.159
2005-01-06,1390.159
2005-01-11,1390.129
2005-01-16,1390.129
2005-01-21,1390.119
2005-01-26,1390.109
2005-02-01,1389.989
2005-02-06,1389.989
2005-02-11,1389.969
2005-02-16,1389.979
2005-02-21,1389.949
2005-02-26,1389.919
2005-03-01,1389.879
2005-03-06,1389.899
2005-03-11,1389.869
2005-03-16,1389.889
2005-03-21,1389.859
2005-03-26,1389.879
2005-04-01,1389.879
2005-04-06,1389.879
2005-04-11,1389.889
2005-04-16,1389.879
2005-04-21,1389.899
2005-04-26,1389.999
2005-05-01,1389.989
2005-05-06,1389.989
2005-05-11,1389.979
2005-05-16,1389.979
2005-05-21,1389.959
2005-05-26,1389.919
2005-06-01,1389.899
2005-06-06,1389.929
2005-06-11,1389.929
2005-06-16,1389.949
2005-06-21,1389.969
2005-06-26,1389.979
2005-07-01,1390.009
2005-07-06,1390.019
2005-07-11,1390.199
2005-07-16,1390.269
2005-07-21,1390.329
2005-07-26,1390.399
2005-08-01,1390.439
2005-08-06,1390.499
2005-08-11,1390.519
2005-08-16,1390.529
2005-08-21,1390.579
2005-08-26,1390.599
2005-09-01,1390.619
2005-09-06,1390.609
2005-09-11,1390.579
2005-09-16,1390.529
2005-09-21,1390.499
2005-09-26,1390.469
2005-10-01,1390.409
2005-10-06,1390.379
2005-10-11,1390.249
2005-10-16,1390.349
2005-10-21,1390.289
2005-10-26,1390.219
2005-11-01,1390.219
2005-11-06,1390.209
2005-11-11,1390.209
2005-11-16,1390.209
2005-11-21,1390.199
2005-11-26,1390.189
2005-12-01,1390.199
2005-12-06,1390.189
2005-12-11,1390.179
2005-12-16,1390.179
2005-12-21,1390.169
2005-12-26,1390.159
2006-01-01,1390.079
2006-01-06,1390.079
2006-01-11,1390.089
2006-01-16,1390.069
2006-01-21,1390.059
2006-01-26,1390.079
2006-02-01,1389.929
2006-02-06,1389.939
2006-02-11,1389.909
2006-02-16,1389.919
2006-02-21,1389.889
2006-02-26,1389.859
2006-03-01,1389.819
2006-03-06,1389.839
2006-03-11,1389.809
2006-03-16,1389.829
2006-03-21,1389.799
2006-03-26,1389.819
2006-04-01,1389.939
2006-04-06,1389.859
2006-04-11,1389.879
2006-04-16,1389.939
2006-04-21,1389.969
2006-04-26,1389.999
2006-05-01,1390.159
2006-05-06,1390.199
2006-05-11,1390.259
2006-05-16,1390.319
2006-05-21,1390.369
2006-05-26,1390.519
2006-06-01,1390.519
2006-06-06,1390.729
2006-06-11,1390.739
2006-06-16,1390.729
2006-06-21,1390.749
2006-06-26,1390.779
