DateTime,Groundwater level per five days
2000-01-01,1466.6
2000-01-06,1466.63
2000-01-11,1466.59
2000-01-16,1466.55
2000-01-21,1466.51
2000-01-26,1466.47
2000-02-01,1466.45
2000-02-06,1466.43
2000-02-11,1466.41
2000-02-16,1466.38
2000-02-21,1466.33
2000-02-26,1466.29
2000-03-01,1466.26
2000-03-06,1466.21
2000-03-11,1466.17
2000-03-16,1466.13
2000-03-21,1466.09
2000-03-26,1466.12
2000-04-01,1466.11
2000-04-06,1466.09
2000-04-11,1466.06
2000-04-16,1466.02
2000-04-21,1465.92
2000-04-26,1465.87
2000-05-01,1465.77
2000-05-06,1465.72
2000-05-11,1465.47
2000-05-16,1465.24
2000-05-21,1464.79
2000-05-26,1464.81
2000-06-01,1464.83
2000-06-06,1464.87
2000-06-11,1464.92
2000-06-16,1464.89
2000-06-21,1464.87
2000-06-26,1464.85
2000-07-01,1464.86
2000-07-06,1464.84
2000-07-11,1464.82
2000-07-16,1464.81
2000-07-21,1464.8
2000-07-26,1464.77
2000-08-01,1464.72
2000-08-06,1464.73
2000-08-11,1464.74
2000-08-16,1464.77
2000-08-21,1464.79
2000-08-26,1464.78
2000-09-01,1465.77
2000-09-06,1465.82
2000-09-11,1465.87
2000-09-16,1465.92
2000-09-21,1465.97
2000-09-26,1466.05
2000-10-01,1466.14
2000-10-06,1466.21
2000-10-11,1466.25
2000-10-16,1466.29
2000-10-21,1466.35
2000-10-26,1466.39
2000-11-01,1466.43
2000-11-06,1466.47
2000-11-11,1466.51
2000-11-16,1466.55
2000-11-21,1466.59
2000-11-26,1466.64
2000-12-01,1466.67
2000-12-06,1466.7
2000-12-11,1466.72
2000-12-16,1466.74
2000-12-21,1466.75
2000-12-26,1466.77
2001-01-01,1466.8
2001-01-06,1466.82
2001-01-11,1466.83
2001-01-16,1466.84
2001-01-21,1466.85
2001-01-26,1466.87
2001-02-01,1466.88
2001-02-06,1466.89
2001-02-11,1466.85
2001-02-16,1466.82
2001-02-21,1466.77
2001-02-26,1466.69
2001-03-01,1465.87
2001-03-06,1465.82
2001-03-11,1465.74
2001-03-16,1465.71
2001-03-21,1465.69
2001-03-26,1465.74
2001-04-01,1465.77
2001-04-06,1465.82
2001-04-11,1465.89
2001-04-16,1465.94
2001-04-21,1465.92
2001-04-26,1465.9
2001-05-01,1465.79
2001-05-06,1465.7
2001-05-11,1465.58
2001-05-16,1465.47
2001-05-21,1465.37
2001-05-26,1465.26
2001-06-01,1464.93
2001-06-06,1464.61
2001-06-11,1464.3
2001-06-16,1463.97
2001-06-21,1463.87
2001-06-26,1463.87
2001-07-01,1463.87
2001-07-06,1463.77
2001-07-11,1463.57
2001-07-16,1463.57
2001-07-21,1463.57
2001-07-26,1463.57
2001-08-01,1463.17
2001-08-06,1463.17
2001-08-11,1462.92
2001-08-16,1462.92
2001-08-21,1462.92
2001-08-26,1462.92
2001-09-01,1463.25
2001-09-06,1463.17
2001-09-11,1462.92
2001-09-16,1462.92
2001-09-21,1462.92
2001-09-26,1462.92
2001-10-01,1463.11
2001-10-06,1463.3
2001-10-11,1463.49
2001-10-16,1463.68
2001-10-21,1463.87
