DateTime,Groundwater level per five days
2000-01-01,1432.77
2000-01-06,1432.77
2000-01-11,1432.77
2000-01-16,1432.77
2000-01-21,1432.76
2000-01-26,1432.76
2000-02-01,1432.76
2000-02-06,1432.77
2000-02-11,1432.78
2000-02-16,1432.78
2000-02-21,1432.79
2000-02-26,1432.8
2000-03-01,1432.81
2000-03-06,1432.82
2000-03-11,1432.84
2000-03-16,1432.83
2000-03-21,1432.84
2000-03-26,1432.86
2000-04-01,1432.89
2000-04-06,1432.89
2000-04-11,1432.88
2000-04-16,1432.89
2000-04-21,1432.87
2000-04-26,1432.88
2000-05-01,1432.88
2000-05-06,1432.89
2000-05-11,1432.87
2000-05-16,1432.83
2000-05-21,1432.81
2000-05-26,1432.77
2000-06-01,1432.73
2000-06-06,1432.66
2000-06-11,1432.58
2000-06-16,1432.13
2000-06-21,1431.95
2000-06-26,1431.81
2000-07-01,1431.69
2000-07-06,1431.49
2000-07-11,1431.33
2000-07-16,1431.11
2000-07-21,1430.89
2000-07-26,1430.45
2000-08-01,1432.1
2000-08-06,1432.04
2000-08-11,1431.98
2000-08-16,1431.93
2000-08-21,1431.82
2000-08-26,1431.73
2000-09-01,1431.77
2000-09-06,1431.82
2000-09-11,1431.86
2000-09-16,1431.9
2000-09-21,1431.95
2000-09-26,1431.99
2000-10-01,1432.04
2000-10-06,1432.07
2000-10-11,1432.08
2000-10-16,1432.11
2000-10-21,1432.15
2000-10-26,1432.18
2000-11-01,1432.21
2000-11-06,1432.25
2000-11-11,1432.28
2000-11-16,1432.34
2000-11-21,1432.41
2000-11-26,1432.48
2000-12-01,1432.55
2000-12-06,1432.6
2000-12-11,1432.66
2000-12-16,1432.7
2000-12-21,1432.74
2000-12-26,1432.76
2001-01-01,1432.75
2001-01-06,1432.78
2001-01-11,1432.82
2001-01-16,1432.76
2001-01-21,1432.71
2001-01-26,1432.79
2001-02-01,1432.86
2001-02-06,1432.9
2001-02-11,1432.98
2001-02-16,1432.97
2001-02-21,1432.95
2001-02-26,1432.96
2001-03-01,1433
2001-03-06,1433.06
2001-03-11,1433.19
2001-03-16,1433.27
2001-03-21,1433.29
2001-03-26,1433.3
2001-04-01,1433.36
2001-04-06,1433.44
2001-04-11,1433.48
2001-04-16,1433.45
2001-04-21,1433.47
2001-04-26,1433.43
2001-05-01,1433.39
2001-05-06,1433.34
2001-05-11,1433.3
2001-05-16,1433.22
2001-05-21,1433.18
2001-05-26,1433.15
2001-06-01,1433.08
2001-06-06,1432.99
2001-06-11,1432.97
2001-06-16,1432.88
2001-06-21,1432.8
2001-06-26,1432.74
2001-07-01,1432.69
2001-07-06,1432.64
2001-07-11,1432.58
2001-07-16,1432.54
2001-07-21,1432.56
2001-07-26,1432.58
2001-08-01,1432.59
2001-08-06,1432.63
2001-08-11,1432.31
2001-08-16,1432.48
2001-08-21,1432.56
2001-08-26,1432.42
2001-09-01,1432.07
2001-09-06,1432.09
2001-09-11,1432.13
2001-09-16,1432.17
2001-09-21,1432.23
2001-09-26,1432.29
2001-10-01,1432.28
2001-10-06,1432.27
2001-10-11,1432.28
2001-10-16,1432.28
2001-10-21,1432.29
2001-10-26,1432.3
2001-11-01,1432.33
2001-11-06,1432.36
2001-11-11,1432.4
2001-11-16,1432.43
2001-11-21,1432.5
2001-11-26,1432.51
2001-12-01,1433.03
2001-12-06,1432.98
2001-12-11,1433.01
2001-12-16,1432.95
2001-12-21,1432.89
2001-12-26,1432.84
2002-01-01,1432.8
2002-01-06,1432.82
2002-01-11,1432.83
2002-01-16,1432.85
2002-01-21,1432.87
2002-01-26,1432.9
2002-02-01,1432.89
2002-02-06,1432.9
2002-02-11,1432.95
2002-02-16,1432.99
2002-02-21,1433.04
2002-02-26,1433.12
