DateTime,Groundwater level per five days
2000-01-01,1448.24
2000-01-06,1448.25
2000-01-11,1448.26
2000-01-16,1448.27
2000-01-21,1448.29
2000-01-26,1448.3
2000-02-01,1448.3
2000-02-06,1448.32
2000-02-11,1448.33
2000-02-16,1448.34
2000-02-21,1448.35
2000-02-26,1448.36
2000-03-01,1448.37
2000-03-06,1448.39
2000-03-11,1448.41
2000-03-16,1448.43
2000-03-21,1448.44
2000-03-26,1448.45
2000-04-01,1448.48
2000-04-06,1448.42
2000-04-11,1448.35
2000-04-16,1448.31
2000-04-21,1448.24
2000-04-26,1448.21
2000-05-01,1448.13
2000-05-06,1448.07
2000-05-11,1447.93
2000-05-16,1447.9
2000-05-21,1447.87
2000-05-26,1447.86
2000-06-01,1447.85
2000-06-06,1447.84
2000-06-11,1447.83
2000-06-16,1447.78
2000-06-21,1447.63
2000-06-26,1447.55
2000-07-01,1447.48
2000-07-06,1447.39
2000-07-11,1447.26
2000-07-16,1447.18
2000-07-21,1447.13
2000-07-26,1447.1
2000-08-01,1447.06
2000-08-06,1447.04
2000-08-11,1447.08
2000-08-16,1447.03
2000-08-21,1447.06
2000-08-26,1447.07
2000-09-01,1447.09
2000-09-06,1447.11
2000-09-11,1447.13
2000-09-16,1447.15
2000-09-21,1447.16
2000-09-26,1447.18
2000-10-01,1447.2
2000-10-06,1447.22
2000-10-11,1447.24
2000-10-16,1447.27
2000-10-21,1447.3
2000-10-26,1447.34
2000-11-01,1447.37
2000-11-06,1447.4
2000-11-11,1447.43
2000-11-16,1447.46
2000-11-21,1447.5
2000-11-26,1447.51
2000-12-01,1447.54
2000-12-06,1447.57
2000-12-11,1447.6
2000-12-16,1447.61
2000-12-21,1447.65
2000-12-26,1447.66
2001-01-01,1447.66
2001-01-06,1447.61
2001-01-11,1447.58
2001-01-16,1447.52
2001-01-21,1447.43
2001-01-26,1447.48
2001-02-01,1447.59
2001-02-06,1447.64
2001-02-11,1447.7
2001-02-16,1447.72
2001-02-21,1447.75
2001-02-26,1447.79
2001-03-01,1447.82
2001-03-06,1447.83
2001-03-11,1447.85
2001-03-16,1447.91
2001-03-21,1447.96
2001-03-26,1447.99
2001-04-01,1447.96
2001-04-06,1447.93
2001-04-11,1447.91
2001-04-16,1447.95
2001-04-21,1447.96
2001-04-26,1447.88
2001-05-01,1447.77
2001-05-06,1447.46
2001-05-11,1447.23
2001-05-16,1447.25
2001-05-21,1447.23
2001-05-26,1447.24
2001-06-01,1447.21
2001-06-06,1447.18
2001-06-11,1447.12
2001-06-16,1447.06
2001-06-21,1447.03
2001-06-26,1447.06
2001-07-01,1447.01
2001-07-06,1446.99
2001-07-11,1446.83
2001-07-16,1446.77
2001-07-21,1446.64
2001-07-26,1446.62
2001-08-01,1446.61
2001-08-06,1446.59
2001-09-11,1446.74
2001-09-16,1446.81
2001-09-21,1446.94
2001-09-26,1446.79
2001-10-01,1447.28
2001-10-06,1447.06
2001-10-11,1446.77
2001-10-16,1446.51
2001-10-21,1446.36
2001-10-26,1446.41
2001-11-01,1446.56
2001-11-06,1446.71
2001-11-11,1446.83
2001-11-16,1446.89
2001-11-21,1446.93
2001-11-26,1446.97
2001-12-01,1447.57
2001-12-06,1447.56
2001-12-11,1447.61
2001-12-16,1447.77
2001-12-21,1447.96
2001-12-26,1447.94
2002-01-01,1447.93
2002-01-06,1447.67
2002-01-11,1447.52
2002-01-16,1447.35
2002-01-21,1447.19
2002-01-26,1447.08
2002-02-01,1447.06
2002-02-06,1447.1
2002-02-11,1447.19
2002-02-16,1447.27
2002-02-21,1447.3
2002-02-26,1447.37
2002-03-01,1447.42
2002-03-06,1447.44
2002-03-11,1447.33
2002-03-16,1447.3
2002-03-21,1447.27
2002-03-26,1447.16
2002-04-01,1447.12
2002-04-06,1447.31
2002-04-11,1447.35
2002-04-16,1447.41
2002-04-21,1447.47
2002-04-26,1447.4
2002-05-01,1447.34
2002-05-06,1447
2002-05-11,1447.05
2002-05-16,1447.02
2002-05-21,1447.07
2002-05-26,1447.14
2002-06-01,1446.98
2002-06-06,1447.12
2002-06-11,1447.02
2002-06-16,1446.87
2002-06-21,1447.13
2002-06-26,1447.16
2002-07-01,1447.14
2002-07-06,1447.16
2002-07-11,1447.14
2002-07-16,1447.13
2002-07-21,1447.13
2002-07-26,1447.16
2002-09-01,1446.75
2002-09-06,1446.61
2002-09-11,1446.58
2002-09-16,1446.62
2002-09-21,1446.77
2002-09-26,1446.97
2002-10-01,1447.05
2002-10-06,1447.09
2002-10-11,1447.11
2002-10-16,1447.13
2002-10-21,1447.14
2002-10-26,1447.16
2002-11-01,1447.18
2002-11-06,1447.18
2002-11-11,1447.27
2002-11-16,1447.43
2002-11-21,1447.45
2002-11-26,1447.43
2002-12-01,1447.47
2002-12-06,1447.43
2002-12-11,1447.45
2002-12-16,1447.48
2002-12-21,1447.53
2002-12-26,1447.58
2003-01-01,1447.66
2003-01-06,1447.65
2003-01-11,1447.61
2003-01-16,1447.54
2003-01-21,1447.5
2003-01-26,1447.48
2003-02-01,1447.51
2003-02-06,1447.54
2003-02-11,1447.66
2003-02-16,1447.64
2003-02-21,1447.67
2003-02-26,1447.68
2003-03-01,1447.73
2003-03-06,1447.71
2003-03-11,1447.72
2003-03-16,1447.72
2003-03-21,1447.82
2003-03-26,1447.89
2003-04-01,1447.81
2003-04-06,1448.21
2003-04-11,1448.26
2003-04-16,1447.99
2003-04-21,1447.88
2003-04-26,1447.71
2003-05-01,1447.82
2003-05-06,1447.71
2003-05-11,1447.69
2003-05-16,1447.65
2003-05-21,1447.46
2003-05-26,1447.39
2003-06-01,1447.58
2003-06-06,1447.45
2003-06-11,1447.38
2003-06-16,1447.28
2003-06-21,1447.12
2003-06-26,1447.01
2003-07-01,1447.05
2003-07-06,1446.82
2003-07-11,1446.64
2003-07-16,1446.88
2003-08-16,1446.58
2003-08-21,1446.57
2003-09-16,1446.84
2003-09-21,1446.85
2003-09-26,1447.12
2003-10-01,1447.51
2003-10-06,1447.6
2003-10-11,1447.22
2003-10-16,1447.25
2003-10-21,1447.32
2003-10-26,1447.34
2003-11-01,1447.25
2003-11-06,1447.17
2003-11-11,1447.23
2003-11-16,1447.53
2003-11-21,1447.43
2003-11-26,1447.31
2003-12-01,1447.41
2003-12-06,1447.52
2003-12-11,1447.58
2003-12-16,1447.6
2003-12-21,1447.65
2003-12-26,1447.67
2004-01-01,1447.7
2004-01-06,1447.67
2004-01-11,1447.75
2004-01-16,1447.71
2004-01-21,1447.74
2004-01-26,1447.8
2004-02-01,1447.81
2004-02-06,1447.72
2004-02-11,1447.67
2004-02-16,1447.69
2004-02-21,1447.74
2004-02-26,1447.77
2004-03-01,1447.93
2004-03-06,1447.95
2004-03-11,1447.78
2004-03-16,1447.73
2004-03-21,1447.8
2004-03-26,1447.83
2004-04-01,1447.81
2004-04-06,1447.88
2004-04-11,1447.97
2004-04-16,1447.86
2004-04-21,1447.77
2004-04-26,1447.64
2004-05-01,1447.62
2004-05-06,1447.64
2004-05-11,1447.39
2004-05-16,1447.38
2004-05-21,1447.36
2004-05-26,1447.24
2004-06-01,1447.45
2004-06-06,1447.47
2004-06-11,1447.37
2004-06-16,1446.94
2004-06-21,1447.1
2004-06-26,1447.25
2004-07-01,1447.22
2004-07-06,1447.24
2004-07-11,1446.8
2004-07-16,1446.74
2004-07-21,1446.66
2004-07-26,1446.43
2004-08-01,1446.81
2004-08-06,1446.78
2004-09-06,1446.34
2004-09-11,1446.46
2004-09-16,1446.62
2004-09-21,1446.88
2004-09-26,1446.23
2004-10-01,1446.34
2004-10-06,1446.47
2004-10-11,1447.19
2004-10-16,1447.54
2004-10-21,1447.79
2004-10-26,1447.83
2004-11-01,1447.25
2004-11-06,1447.21
2004-11-11,1447.28
2004-11-16,1447.28
2004-11-21,1447.3
2004-11-26,1447.26
2004-12-01,1447.27
2004-12-06,1447.28
2004-12-11,1447.4
2004-12-16,1447.41
2004-12-21,1447.33
2004-12-26,1447.48
2005-01-01,1447.48
2005-01-06,1447.51
2005-01-11,1447.28
2005-01-16,1447.56
2005-01-21,1447.54
2005-01-26,1447.5
2005-02-01,1447.58
2005-02-06,1447.54
2005-02-11,1447.59
2005-02-16,1447.63
2005-02-21,1447.65
2005-02-26,1447.49
2005-03-01,1447.44
2005-03-06,1447.47
2005-03-11,1447.55
2005-03-16,1447.51
2005-03-21,1447.55
2005-03-26,1447.6
2005-04-01,1447.58
2005-04-06,1447.55
2005-04-11,1447.65
2005-04-16,1447.61
2005-04-21,1447.64
2005-04-26,1447.69
2005-05-01,1447.45
2005-05-06,1446.73
2005-05-11,1447.34
2005-05-16,1446.61
2005-05-21,1446.8
2005-05-26,1447.43
2005-06-01,1447.02
2005-06-06,1446.92
2005-06-11,1447.54
2005-06-16,1446.8
2005-06-21,1446.69
2005-06-26,1447.34
2005-07-01,1446.55
2005-07-06,1446.6
2005-07-11,1446.47
2005-07-16,1446.66
2005-08-01,1447.53
2005-09-06,1446.74
2005-09-11,1446.87
2005-09-16,1446.94
2005-09-21,1447.05
2005-09-26,1447.08
2005-10-01,1447.16
2005-10-06,1447.22
2005-10-11,1447.27
2005-10-16,1447.28
2005-10-21,1447.34
2005-10-26,1447.71
2005-11-01,1447.73
2005-11-06,1447.74
2005-11-11,1448.14
