DateTime,Groundwater level per five days
2000-01-01,1367.97
2000-01-06,1367.89
2000-01-11,1367.87
2000-01-16,1367.81
2000-01-21,1367.74
2000-01-26,1367.72
2000-02-01,1367.67
2000-02-06,1367.61
2000-02-11,1367.55
2000-02-16,1367.5
2000-02-21,1367.47
2000-02-26,1367.44
2000-03-01,1367.47
2000-03-06,1367.44
2000-03-11,1367.43
2000-03-16,1367.3
2000-03-21,1367.27
2000-03-26,1367.25
2000-04-01,1367.23
2000-04-06,1367.22
2000-04-11,1367.3
2000-04-16,1367.35
2000-04-21,1367.41
2000-04-26,1367.55
2000-05-01,1367.61
2000-05-06,1367.72
2000-05-11,1367.8
2000-05-16,1367.91
2000-05-21,1367.98
2000-05-26,1368.07
2000-06-01,1368.08
2000-06-06,1368.05
2000-06-11,1368.03
2000-06-16,1368.02
2000-06-21,1368
2000-06-26,1367.97
2000-07-01,1368.02
2000-07-06,1368.06
2000-07-11,1368.12
2000-07-16,1368.14
2000-07-21,1368.18
2000-07-26,1368.22
2000-08-01,1368.45
2000-08-06,1368.52
2000-08-11,1368.62
2000-08-16,1368.69
2000-08-21,1368.81
2000-08-26,1368.9
2000-09-01,1368.92
2000-09-06,1368.94
2000-09-11,1368.99
2000-09-16,1369.02
2000-09-21,1369.07
2000-09-26,1369.02
2000-10-01,1368.9
2000-10-06,1368.85
2000-10-11,1368.73
2000-10-16,1368.7
2000-10-21,1368.62
2000-10-26,1368.6
2000-11-01,1368.56
2000-11-06,1368.52
2000-11-11,1368.49
2000-11-16,1368.62
2000-11-21,1368.71
2000-11-26,1368.79
2000-12-01,1368.75
2000-12-06,1368.72
2000-12-11,1368.7
2000-12-16,1368.64
2000-12-21,1368.59
2000-12-26,1368.52
2001-01-01,1367.99
2001-01-06,1367.96
2001-01-11,1367.89
2001-01-16,1367.87
2001-01-21,1367.81
2001-01-26,1367.76
2001-02-01,1367.71
2001-02-06,1367.69
2001-02-11,1367.66
2001-02-16,1367.6
2001-02-21,1367.54
2001-02-26,1367.5
2001-03-01,1367.46
2001-03-06,1367.43
2001-03-11,1367.4
2001-03-16,1367.35
2001-03-21,1367.29
