DateTime,Groundwater level per five days
2000-01-01,1433.16
2000-01-06,1433
2000-01-11,1432.84
2000-01-16,1432.86
2000-01-21,1432.9
2000-01-26,1432.92
2000-02-01,1432.92
2000-02-06,1432.95
2000-02-11,1432.97
2000-02-16,1433.01
2000-02-21,1433.03
2000-02-26,1433.05
2000-03-01,1433.06
2000-03-06,1433.06
2000-03-11,1433.08
2000-03-16,1433.11
2000-03-21,1433.14
2000-03-26,1433.16
2000-04-01,1433.2
2000-04-06,1433.16
2000-04-11,1433.11
2000-04-16,1433.05
2000-04-21,1433
2000-04-26,1432.95
2000-05-01,1433
2000-05-06,1432.98
2000-05-11,1432.97
2000-05-16,1432.82
2000-05-21,1432.65
2000-05-26,1432.5
2000-06-01,1432.33
2000-06-06,1432.3
2000-06-11,1432.26
2000-06-16,1432.22
2000-06-21,1432.15
2000-06-26,1432.14
2000-07-01,1432.13
2000-07-06,1432.09
2000-07-11,1432.04
2000-07-16,1432.02
2000-07-21,1431.97
2000-07-26,1431.96
2000-08-01,1432.13
2000-08-06,1432.18
2000-08-11,1432.21
2000-08-16,1432.24
2000-08-21,1432.27
2000-08-26,1432.3
2000-09-01,1432.3
2000-09-06,1432.31
2000-09-11,1432.31
2000-09-16,1432.31
2000-09-21,1432.3
2000-09-26,1432.31
2000-10-01,1432.31
2000-10-06,1432.3
2000-10-11,1432.31
2000-10-16,1432.31
2000-10-21,1432.31
2000-10-26,1432.31
2000-11-01,1432.31
2000-11-06,1432.31
2000-11-11,1432.31
2000-11-16,1432.29
2000-11-21,1432.25
2000-11-26,1432.22
2000-12-01,1432.22
2000-12-06,1432.22
2000-12-11,1432.23
2000-12-16,1432.27
2000-12-21,1432.32
2000-12-26,1432.38
2001-01-01,1432.35
2001-01-06,1432.33
2001-01-11,1432.31
2001-01-16,1432.31
2001-01-21,1432.3
2001-01-26,1432.29
2001-02-01,1432.29
2001-02-06,1432.29
2001-02-11,1432.29
2001-02-16,1432.3
2001-02-21,1432.31
2001-02-26,1432.32
2001-03-01,1432.32
2001-03-06,1432.35
2001-03-11,1432.38
2001-03-16,1432.39
2001-03-21,1432.41
2001-03-26,1432.43
2001-04-01,1432.46
2001-04-06,1432.5
2001-04-11,1432.42
2001-04-16,1432.26
2001-04-21,1432.28
2001-04-26,1432.34
2001-05-01,1432.43
2001-05-06,1432.46
2001-05-11,1432.51
2001-05-16,1431.73
2001-05-21,1431.45
2001-05-26,1431.26
2001-06-01,1431.11
2001-06-06,1431.06
2001-06-11,1430.98
2001-06-16,1430.83
2001-06-21,1430.73
2001-06-26,1430.66
2001-07-01,1430.64
2001-07-06,1430.73
2001-07-11,1430.79
2001-07-16,1430.86
2001-07-21,1430.83
2001-07-26,1430.55
2001-08-01,1430.53
2001-08-06,1430.48
2001-08-11,1430.43
2001-08-16,1430.38
2001-08-21,1430.31
2001-08-26,1430.29
2001-09-01,1430.28
2001-09-06,1430.32
2001-09-11,1430.22
2001-09-16,1430.18
